class,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5
1,0.341820806,0.892930147,0.806275166,0.760241236,0.699647598
1,0.451608252,0.973714181,0.723494228,0.506709625,0.621621187
1,0.505046145,0.967554658,0.958437759,0.699124035,0.596361928
1,0.376300505,0.690229988,0.819939279,0.775486952,0.747221386
1,0.432098451,0.744074933,0.81829234,0.725013886,0.619925485
1,0.411720583,0.857538819,0.947496916,0.617730695,0.508918062
1,0.433461868,0.921642596,0.801057773,0.555331498,0.667055686
1,0.429259648,0.87640254,0.875112936,0.539342913,0.494192983
1,0.351687703,0.959671445,0.775926823,0.6136525,0.569284577
1,0.476437518,0.736742423,0.765945088,0.647080158,0.707481084
1,0.451404185,0.860162648,0.70744829,0.709909213,0.664972761
1,0.529794868,0.849131525,0.800208834,0.735177998,0.750637934
1,0.454813763,0.806748823,0.892922672,0.645379809,0.756881086
1,0.472048118,0.650533434,0.929659003,0.831167737,0.64740494
1,0.462802005,0.907920388,0.867642069,0.630449128,0.498949805
1,0.508408635,0.842669979,0.86886359,0.811398053,0.651614652
1,0.631201747,0.648643072,0.896271172,0.640070844,0.593023283
1,0.532527462,0.96021865,0.966968307,0.512328581,0.745453262
1,0.334574382,0.934307612,0.771679235,0.798838827,0.67954674
1,0.539236477,0.740990766,0.809360653,0.64964823,0.555504258
1,0.365755674,0.738365792,0.919153293,0.822762846,0.555087259
1,0.438098455,0.649744726,0.768820746,0.595035408,0.662827653
1,0.438428142,0.922436302,0.858896062,0.67451802,0.519433731
1,0.618912605,0.862931368,0.876259021,0.570925153,0.504272234
1,0.484147226,0.904374805,0.90252546,0.672415102,0.658271413
1,0.609279247,0.937072898,0.943479657,0.813879215,0.634646825
1,0.571489013,0.647490868,0.709470399,0.631958508,0.754954356
1,0.578013109,0.937669203,0.68286564,0.813821266,0.608432279
1,0.531206528,0.73761003,0.880379071,0.689155994,0.610526961
1,0.59676738,0.928211098,0.808904211,0.625938771,0.566546903
1,0.419110803,0.912104107,0.778282879,0.754032704,0.669727781
1,0.506634894,0.803878571,0.952426079,0.635461756,0.516220293
1,0.527107694,0.912795178,0.825691915,0.699476754,0.694735072
1,0.394337816,0.642634837,0.923133126,0.646365503,0.733506999
1,0.52620939,0.802245848,0.849059916,0.581554882,0.678080245
1,0.477200634,0.916730868,0.702583195,0.570444288,0.700615899
1,0.575814874,0.776760726,0.743797786,0.552514158,0.678643217
1,0.37895412,0.743746711,0.866468916,0.770577668,0.679471897
1,0.634706251,0.870457746,0.713568211,0.758711591,0.647059968
1,0.556954767,0.725738914,0.956755055,0.809405846,0.65261559
1,0.421884521,0.764531202,0.887917534,0.687935471,0.512721883
1,0.404412071,0.932556358,0.819280663,0.796185536,0.571559535
1,0.381001946,0.976232897,0.879860636,0.745584253,0.772030524
1,0.417873136,0.800992183,0.877611399,0.816262209,0.67515357
1,0.624329716,0.686772996,0.690861907,0.697913967,0.492858456
1,0.600876685,0.677495277,0.855219556,0.524942865,0.541631661
1,0.630794509,0.761676922,0.738171458,0.62780278,0.631180803
